RAILLINK_I,출발역,종착역,LENGTH,호선
2010129,수원역(일반),화서,2.1,서울1호선
2010130,수원역(일반),세류,2.9,서울1호선
2010131,수원역(고속),화서,2.1,서울1호선
2010132,수원역(고속),세류,2.9,서울1호선
2010133,병점역(1호선),세류,4.3,서울1호선
2010134,오산역(일반),오산대,2.7,서울1호선
2010135,진위,오산역(일반),4,서울1호선
2010136,지제역(1호선),평택역(일반),3.7,서울1호선
2010137,평택역(1호선),평택역(일반),9.4,서울1호선
2010188,행신역(경의),강매,0.9,경의중앙선(수도권전철)
2010189,행신역(경의),능곡,1.5,경의중앙선(수도권전철)
2010191,옥수역(일반),응봉,1.8,경의중앙선(수도권전철)
2010192,한남,옥수역(일반),1.6,경의중앙선(수도권전철)
2010193,응봉,왕십리역(일반),1.4,경의중앙선(수도권전철)
2010195,청량리역(고속),왕십리역(일반),2.4,경의중앙선(수도권전철)
2010196,회기역(경의),청량리역(고속),1.4,경의중앙선(수도권전철)
2010197,회기역(경춘),청량리역(일반),1.4,경의중앙선(수도권전철)
2010198,청량리역(일반),왕십리역(일반),2.4,경의중앙선(수도권전철)
2010202,가평역(일반),상천,7.1,경춘선(수도권전철)
2010203,굴봉산,가평역(경춘),4.7,경춘선(수도권전철)
2010204,대성리,청평역(일반),7.5,경춘선(수도권전철)
2010205,상천,청평역(일반),4.8,경춘선(수도권전철)
2010206,대성리,마석역(일반),7.4,경춘선(수도권전철)
2010207,천마산,마석역(일반),2.2,경춘선(수도권전철)
2010208,천마산,평내호평역(일반),4.2,경춘선(수도권전철)
2010209,금곡,평내호평역(일반),4,경춘선(수도권전철)
2010210,금곡,사릉역(일반),3.6,경춘선(수도권전철)
2010211,퇴계원역(일반),사릉역(일반),3.3,경춘선(수도권전철)
2010212,퇴계원역(일반),별내,1.6,경춘선(수도권전철)
2010213,지제역(1호선),서정리역(일반),4.8,서울1호선
2010214,송탄,서정리역(일반),2.2,서울1호선
2010216,상봉역(일반),중랑역(경의),0.8,경의중앙선(수도권전철)
2010217,망우역(경의),상봉역(일반),0.6,경의중앙선(수도권전철)
2010218,중랑역(경의),상봉역(고속),0.8,경의중앙선(수도권전철)
2010219,망우역(경의),상봉역(고속),0.6,경의중앙선(수도권전철)
2010223,원덕,양평역(고속),5.8,경의중앙선(수도권전철)
2010224,오빈,양평역(고속),2.2,경의중앙선(수도권전철)
2010229,양정,덕소역(일반),2.3,경의중앙선(수도권전철)
2010230,도심,덕소역(일반),1.5,경의중앙선(수도권전철)
2010231,동두천역(1호선),보산,1.6,서울1호선
2010232,광명역(고속),분기(시흥연결선),2.8,서울1호선
2010234,동두천역(일반),소요산역(일반),2.5,서울1호선
2010235,상봉역(일반),망우역(경춘),0.6,경춘선(수도권전철)
2010236,상봉역(일반),중랑역(경춘),0.8,경춘선(수도권전철)
2010237,용산역(일반),남영,1.5,서울1호선
2010240,신도림역(일반),구로역(1-2호선),1.1,서울1호선
2010242,오빈,양평역(일반),2.2,경의중앙선(수도권전철)
2010243,양평역(일반),원덕,5.8,경의중앙선(수도권전철)
2010244,지평역(일반),석불,2.9,경의중앙선(수도권전철)
2010245,용문역(일반),지평역(일반),3.6,경의중앙선(수도권전철)
2011001,분기점(경의선),분기점(경부선),0.5,경의중앙선(수도권전철)
2012001,분기점(경부선),분기점(경인선),1.2,경의중앙선(수도권전철)
2014001,오봉,의왕,3,서울1호선
2015007,달월,월곶,1.3,수인선
2015009,달월,월곶,1.5,수인선
2015010,오이도역(수인),달월,2.1,수인선
2016001,서동탄,병점역(1-3호선),2.2,서울1호선
2030002,가좌역(경의),신촌,2.7,경의중앙선(수도권전철)
2030003,가좌역(경의),디지털미디어시티(경의),1.7,경의중앙선(수도권전철)
2030004,디지털미디어시티(경의),수색(경의),0.6,경의중앙선(수도권전철)
2030005,화전,분기(수색직결선),1.7,경의중앙선(수도권전철)
2030006,수색(경의),분기(수색직결선),1.7,경의중앙선(수도권전철)
2030007,행신역(고속),능곡,1.5,경의중앙선(수도권전철)
2030008,풍산,일산,1.9,경의중앙선(수도권전철)
2030009,백마,곡산,1.6,경의중앙선(수도권전철)
2030010,백마,풍산,1.7,경의중앙선(수도권전철)
2030011,일산,탄현,1.7,경의중앙선(수도권전철)
2030013,운정,금릉,3.1,경의중앙선(수도권전철)
2030014,금릉,금촌,2.1,경의중앙선(수도권전철)
2030015,월롱,금촌,4.1,경의중앙선(수도권전철)
2030016,월롱,파주,2.2,경의중앙선(수도권전철)
2030017,문산,파주,4.4,경의중앙선(수도권전철)
2030018,운천,임진강,2.3,경의중앙선(수도권전철)
2030019,운천,문산,3.7,경의중앙선(수도권전철)
2030020,대곡역(경의),능곡,1.8,경의중앙선(수도권전철)
2030021,도라산,임진강,3.7,경의중앙선(수도권전철)
2030022,곡산,대곡역(경의),1.7,경의중앙선(수도권전철)
2030023,강매,행신역(고속),0.9,경의중앙선(수도권전철)
2030024,강매,화전,2.5,경의중앙선(수도권전철)
2030025,야당,운정,1.5,경의중앙선(수도권전철)
2030026,탄현,야당,2.1,경의중앙선(수도권전철)
2030027,서울역(경의),신촌,3.1,경의중앙선(수도권전철)
2030029,상봉역(경의),망우역(경의),0.6,경의중앙선(수도권전철)
2030030,중랑역(경의),상봉역(경의),0.8,경의중앙선(수도권전철)
2030031,회기역(경의),중랑역(경의),1.8,경의중앙선(수도권전철)
2030032,회기역(경의),청량리역(경의),1.4,경의중앙선(수도권전철)
2030033,원덕,용문역(경의),4.8,경의중앙선(수도권전철)
2032003,서강대,공덕역(경의),1.9,경의중앙선(수도권전철)
2032004,홍대입구역(경의),서강대,0.9,경의중앙선(수도권전철)
2032005,가좌역(경의),홍대입구역(경의),1.7,경의중앙선(수도권전철)
2050001,분기점(경의선),이촌역(경의),1.1,경의중앙선(수도권전철)
2050002,이촌역(경의),서빙고,1.7,경의중앙선(수도권전철)
2050003,서빙고,한남,1.9,경의중앙선(수도권전철)
2050004,옥수역(경의),한남,1.6,경의중앙선(수도권전철)
2050005,응봉,옥수역(경의),1.8,경의중앙선(수도권전철)
2050006,왕십리역(경의),응봉,1.4,경의중앙선(수도권전철)
2050007,왕십리역(경의),청량리역(경의),2.4,경의중앙선(수도권전철)
2050009,외대앞,회기역(1호선),0.8,서울1호선
2050010,외대앞,신이문,0.8,서울1호선
2050011,석계역(1호선),신이문,1.4,서울1호선
2050012,광운대역(1호선),석계역(1호선),1.1,서울1호선
2050013,월계,광운대역(1호선),1.1,서울1호선
2050014,월계,녹천,1.4,서울1호선
2050015,녹천,창동역(1호선),1,서울1호선
2050016,방학,창동역(1호선),1.7,서울1호선
2050017,도봉,방학,1.3,서울1호선
2050018,도봉산역(1호선),도봉,1.2,서울1호선
2050019,망월사,도봉산역(1호선),2.3,서울1호선
2050020,망월사,회룡역(1호선),1.4,서울1호선
2050021,회룡역(1호선),의정부,1.6,서울1호선
2050022,가능,의정부,1.2,서울1호선
2050023,가능,녹양,1.3,서울1호선
2050024,양주,녹양,1.6,서울1호선
2050025,양주,덕계,5.3,서울1호선
2050026,덕정,덕계,2.9,서울1호선
2050027,지행,덕정,5.6,서울1호선
2050028,지행,동두천중앙,1,서울1호선
2050029,보산,동두천중앙,1.4,서울1호선
2050030,보산,동두천역(일반),1.6,서울1호선
2050031,동두천역(1호선),소요산역(1호선),2.5,서울1호선
2050032,초성리,소요산역(일반),4.1,서울1호선
2050033,초성리,한탄강,3,서울1호선
2050034,한탄강,전곡,2.5,서울1호선
2050035,연천,전곡,8.6,서울1호선
2050036,신망리,연천,3.6,서울1호선
2050039,분기점(경의선),용산역(경의),0.8,경의중앙선(수도권전철)
2050040,신탄리,대광리,5.6,서울1호선
2100001,상봉역(경춘),망우역(경춘),0.6,경춘선(수도권전철)
2100002,망우역(경춘),신내,2.1,경춘선(수도권전철)
2100003,갈매,별내,1.4,경춘선(수도권전철)
2100004,별내,퇴계원역(경춘),1.6,경춘선(수도권전철)
2100005,퇴계원역(경춘),사릉역(경춘),3.3,경춘선(수도권전철)
2100006,사릉역(경춘),금곡,3.6,경춘선(수도권전철)
2100007,평내호평역(경춘),금곡,4,경춘선(수도권전철)
2100008,천마산,평내호평역(경춘),4.2,경춘선(수도권전철)
2100009,대성리,마석역(경춘),7.4,경춘선(수도권전철)
2100010,대성리,청평역(경춘),7.5,경춘선(수도권전철)
2100011,상천,청평역(경춘),4.8,경춘선(수도권전철)
2100012,상천,가평역(경춘),7.1,경춘선(수도권전철)
2100013,가평역(경춘),가평역(일반),4.7,경춘선(수도권전철)
2100019,갈매,신내,2.6,경춘선(수도권전철)
2100020,천마산,마석역(경춘),2.2,경춘선(수도권전철)
2101100,평내호평역(경춘),평내기지,2.5,
2120001,회기역(경춘),중랑역(경춘),1.8,경춘선(수도권전철)
2120003,양원(중앙),망우역(경의),1.7,경의중앙선(수도권전철)
2120004,양원(중앙),구리,3.2,경의중앙선(수도권전철)
2120005,구리,도농,1.7,경의중앙선(수도권전철)
2120006,도농,양정,3.7,경의중앙선(수도권전철)
2120007,덕소역(경의),양정,2.3,경의중앙선(수도권전철)
2120008,도심,덕소역(경의),1.5,경의중앙선(수도권전철)
2120009,도심,팔당,4.2,경의중앙선(수도권전철)
2120010,팔당,운길산,6.4,경의중앙선(수도권전철)
2120011,양수,운길산,1.9,경의중앙선(수도권전철)
2120012,양수,신원,4.7,경의중앙선(수도권전철)
2120013,신원,국수,2.9,경의중앙선(수도권전철)
2120014,아신,국수,4.1,경의중앙선(수도권전철)
2120018,용문역(경의),지평역(경의),3.6,경의중앙선(수도권전철)
2120024,회기역(경춘),청량리역(경춘),1.4,경춘선(수도권전철)
2120083,상봉역(경춘),중랑역(경춘),0.8,경춘선(수도권전철)
2120084,원덕,용문역(일반),4.8,경의중앙선(수도권전철)
2120085,원덕,양평역(경의),5.8,경의중앙선(수도권전철)
2120086,오빈,양평역(경의),2.2,경의중앙선(수도권전철)
2120088,오빈,아신,2.8,경의중앙선(수도권전철)
2121001,광운대역(경춘),상봉역(경춘),4.3,경춘선(수도권전철)
2700001,신설동역(우이),보문역(우이),1,우이신설선
2700002,성신여대입구(우이),보문역(우이),0.9,우이신설선
2700003,정릉,성신여대입구(우이),1.2,우이신설선
2700004,정릉,북한산보국문,1.2,우이신설선
2700005,솔샘,북한산보국문,1.2,우이신설선
2700006,삼양사거리,솔샘,0.8,우이신설선
2700007,삼양,삼양사거리,0.7,우이신설선
2700008,화계,삼양,0.8,우이신설선
2700009,화계,가오리,0.8,우이신설선
2700010,4.19민주묘지,가오리,0.9,우이신설선
2700011,솔밭공원,4.19민주묘지,0.7,우이신설선
2700012,솔밭공원,북한산우이,0.8,우이신설선
3010001,구일,분기점(경인선),0.4,서울1호선
3010002,구일,개봉,1,서울1호선
3010003,오류동,개봉,1.3,서울1호선
3010004,오류동,온수역(1호선),1.9,서울1호선
3010005,역곡,온수역(1호선),1.3,서울1호선
3010006,소사,역곡,1.5,서울1호선
3010007,소사,부천,1.1,서울1호선
3010008,중동,부천,1.7,서울1호선
3010009,송내,중동,1,서울1호선
3010010,중동,송내,1.2,서울1호선
3010021,분기점(경인선),구로역(1-1호선),1,서울1호선
3020001,금정역(4호선),산본,2.3,서울4호선
3020002,산본,수리산,1.1,서울4호선
3020003,대야미,수리산,2.6,서울4호선
3020004,반월,대야미,2,서울4호선
3020005,반월,상록수,3.7,서울4호선
3020006,한대앞,상록수,1.5,서울4호선
3020007,한대앞,중앙,1.6,서울4호선
3020008,고잔,중앙,1.4,서울4호선
3020009,고잔,초지,1.5,서울4호선
3020010,초지,안산,1.8,서울4호선
3020011,신길온천,안산,2.2,서울4호선
3020012,신길온천,정왕,2.9,서울4호선
3020013,오이도역(4호선),정왕,1.4,서울4호선
3021001,시흥기지,오이도역(수인),2,
3030001,남태령,선바위,2,서울4호선
3030002,금정역(4호선),범계,2.6,서울4호선
3030003,평촌,범계,1.3,서울4호선
3030004,인덕원,평촌,1.6,서울4호선
3030005,인덕원,정부과천청사,3,서울4호선
3030006,정부과천청사,과천,1,서울4호선
3030007,과천,대공원(과천),1,서울4호선
3030008,대공원(과천),경마공원,0.9,서울4호선
3030009,경마공원,선바위,1,서울4호선
3040001,선릉역(분당),한티,1,분당선
3040002,한티,도곡역(분당),0.7,분당선
3040003,구룡,도곡역(분당),0.6,분당선
3040004,개포동,구룡,0.7,분당선
3040005,대모산입구,개포동,0.6,분당선
3040006,수서역(분당),대모산입구,3,분당선
3040007,수서역(분당),복정역(분당),3.2,분당선
3040008,복정역(분당),가천대,2.4,분당선
3040009,태평,가천대,1,분당선
3040010,모란역(분당),태평,0.9,분당선
3040011,야탑,모란역(분당),2.3,분당선
3040012,이매역(분당),야탑,1.7,분당선
3040013,서현,이매역(분당),1.4,분당선
3040014,서현,수내,1.1,분당선
3040015,수내,정자역(분당),1.6,분당선
3040016,정자역(분당),미금역(분당),1.8,분당선
3040017,오리,미금역(분당),1.1,분당선
3040018,오리,죽전,1.8,분당선
3040019,보정,죽전,1.3,분당선
3040020,보정,구성,1.6,분당선
3040021,신갈,구성,1.6,분당선
3040022,서울숲,왕십리역(분당),2.2,분당선
3040023,압구정로데오,서울숲,1.9,분당선
3040024,압구정로데오,강남구청역(분당),1.2,분당선
3040025,선정릉역(분당),강남구청역(분당),0.7,분당선
3040026,선릉역(분당),선정릉역(분당),0.7,분당선
3040027,매교,수원역(분당),1.5,분당선
3040028,매교,수원시청,1.4,분당선
3040029,매탄권선,수원시청,1.4,분당선
3040030,매탄권선,망포,1.8,분당선
3040031,망포,영통,1.5,분당선
3040032,청명,영통,1.1,분당선
3040033,청명,상갈,2.8,분당선
3040034,상갈,기흥역(분당),1.9,분당선
3040035,신갈,기흥역(분당),1.4,분당선
3040036,청량리역(분당),왕십리역(분당),2.4,분당선
3041001,분당기지,오리,2.3,
3050001,삼송,지축,1.7,서울3호선
3050003,원당,화정,2.6,서울3호선
3050004,화정,대곡역(3호선),2.1,서울3호선
3050005,대곡역(3호선),백석,2.5,서울3호선
3050006,마두,백석,1.4,서울3호선
3050007,정발산,마두,0.9,서울3호선
3050008,주엽,정발산,1.6,서울3호선
3050009,주엽,대화,1.4,서울3호선
3050010,원흥,원당,2.9,서울3호선
3050011,삼송,원흥,2.1,서울3호선
3060001,양재역(신분당),강남역(신분당),1.5,신분당선
3060002,양재역(신분당),양재시민의숲,1.6,신분당선
3060003,양재시민의숲,청계산입구,2.9,신분당선
3060004,판교역(신분당),청계산입구,8.2,신분당선
3060005,판교역(신분당),정자역(신분당),3.1,신분당선
4100003,동탄,수서역(고속),32.6,
4100004,지제역(고속),동탄,21,
4100005,지제역(고속),분기,7.5,
4100011,이매역(경강),판교역(경강),1.5,경강선(수도권전철)
4100012,삼동,이매역(경강),6.9,경강선(수도권전철)
4100013,삼동,경기광주,4.9,경강선(수도권전철)
4100014,초월,경기광주,5,경강선(수도권전철)
4100015,초월,곤지암,4.9,경강선(수도권전철)
4100016,곤지암,신둔도예촌,6.8,경강선(수도권전철)
4100017,이천,신둔도예촌,7.8,경강선(수도권전철)
4100018,부발,이천,4.5,경강선(수도권전철)
4100019,부발,세종대왕릉,8.3,경강선(수도권전철)
4100020,세종대왕릉,여주,5.4,경강선(수도권전철)
4100146,소사역(소사원시),소새울,1.7,소사~원시
4100147,시흥대야,소새울,2.1,소사~원시
4100148,시흥대야,신천(소사원시),1.4,소사~원시
4100149,신현,신천(소사원시),3.3,소사~원시
4100150,시흥시청,신현,3.6,소사~원시
4100151,시흥시청,시흥능곡,1.3,소사~원시
4100152,시흥능곡,달미,2.4,소사~원시
4100153,달미,선부,1.6,소사~원시
4100154,선부,초지역(소사원시),1.7,소사~원시
4100156,초지역(소사원시),원곡,1.4,소사~원시
4100157,원곡,원시,1.5,소사~원시
4100221,삼전,종합운동장역(9호선),1.4,서울지하철9호선
4100222,석촌고분,삼전,0.8,서울지하철9호선
4100223,석촌고분,석촌역(9호선),1,서울지하철9호선
4100224,송파나루,석촌역(9호선),0.8,서울지하철9호선
4100225,한성백제,송파나루,0.8,서울지하철9호선
4100226,한성백제,올림픽공원역(9호선),1.4,서울지하철9호선
4100227,둔촌오륜,올림픽공원역(9호선),1,서울지하철9호선
4100228,둔촌오륜,중앙보훈병원,1.7,서울지하철9호선
4100347,수지구청,동천,2.1,신분당선
4100348,수지구청,성복,1.7,신분당선
4100349,성복,상현,2.1,신분당선
4100350,상현,광교중앙,2.4,신분당선
4100351,광교,광교중앙,2,신분당선
4100471,효창공원앞(경의),용산역(경의),1.5,경의중앙선(수도권전철)
4100472,공덕역(경의),효창공원앞(경의),1,경의중앙선(수도권전철)
4102057,정자역(신분당),미금역(신분당),1.9,신분당선
4102058,미금역(신분당),동천,1.6,신분당선
9010006,김포공항역(9호선),김포공항역(공항),6.6,공항철도
9010007,마곡나루역(공항),김포공항역(공항),2.3,공항철도
9010008,디지털미디어시티(공항),분기(수색직결선),2.3,공항철도
9010009,홍대입구역(공항),디지털미디어시티(공항),3.4,공항철도
9010010,공덕역(공항),홍대입구역(공항),2.8,공항철도
9010011,공덕역(공항),서울역(공항),3.3,공항철도
9010012,분기(수색직결선),분기(수색직결선),2.2,
9010013,분기(수색직결선),마곡나루역(공항),6.3,공항철도
G210001,고촌역(김포골드),김포공항역(김포골드),5.9,김포골드라인
G210002,고촌역(김포골드),풍무,3.6,김포골드라인
G210003,풍무,사우(김포시청),1.6,김포골드라인
G210004,사우(김포시청),걸포북변,1.73,김포골드라인
G210005,걸포북변,운양,3.47,김포골드라인
G210006,장기,운양,1.7,김포골드라인
G210007,마산역(김포골드),장기,2.6,김포골드라인
G210008,마산역(김포골드),구래,1.6,김포골드라인
G210009,구래,양촌,1.4,김포골드라인
U001001,회룡역(의정부),발곡,0.833,의정부경전철
U001002,범골,회룡역(의정부),0.615,의정부경전철
U001003,경전철의정부,범골,0.949,의정부경전철
U001004,경전철의정부,의정부시청,0.92,의정부경전철
U001005,의정부시청,흥선,0.627,의정부경전철
U001006,의정부중앙,흥선,1.107,의정부경전철
U001007,동오,의정부중앙,0.703,의정부경전철
U001008,동오,새말,0.739,의정부경전철
U001009,새말,경기도청북부청사,0.716,의정부경전철
U001010,효자(의정부),경기도청북부청사,0.63,의정부경전철
U001011,곤제,효자(의정부),0.772,의정부경전철
U001012,어룡,곤제,0.904,의정부경전철
U001013,송산,어룡,0.63,의정부경전철
U001014,송산,탑석,0.455,의정부경전철
Y001001,강남대,기흥역(용인),1.044,용인경전철
Y001002,강남대,지석,1.062,용인경전철
Y001003,어정,지석,0.918,용인경전철
Y001004,동백,어정,1.185,용인경전철
Y001005,동백,초당,1.097,용인경전철
Y001006,초당,삼가,2.591,용인경전철
Y001007,"시청,용인대",삼가,1.045,용인경전철
Y001008,명지대,"시청,용인대",1.034,용인경전철
Y001009,명지대,김량장,0.755,용인경전철
Y001010,김량장,"운동장,송담대",0.945,용인경전철
Y001011,고진,"운동장,송담대",0.935,용인경전철
Y001012,고진,보평,1.75,용인경전철
Y001013,보평,둔전,1.027,용인경전철
Y001014,"전대,에버랜드",둔전,2.626,용인경전철
